Event ID,Disease,lat,lon,Locality,Country,Region,Location,observation date,report date,Date,Animal Type,Animal Species,Species,Diagnosis Status,Humans Affected,Human Deaths,Diagnosis Source,cluster
390099,African swine fever,52.278984,16.785806,142706 TRZEBAW,Poland,Europe,"142706 TRZEBAW, Poland, Europe",2024-10-24,2024-11-08,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390098,African swine fever,52.291565,16.782631,142708 ROSN?WKO,Poland,Europe,"142708 ROSN?WKO, Poland, Europe",2024-10-24,2024-11-08,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389618,African swine fever,52.300481,16.835143,142287 WIRY,Poland,Europe,"142287 WIRY, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389617,African swine fever,52.297965,16.862406,142288 PUSZCZYKOWO,Poland,Europe,"142288 PUSZCZYKOWO, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389616,African swine fever,52.253156,16.792373,142289 G?RKA,Poland,Europe,"142289 G?RKA, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389615,African swine fever,52.2548,16.787641,142290 G?RKA,Poland,Europe,"142290 G?RKA, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389614,African swine fever,52.269196,16.790792,142291 TRZEBAW,Poland,Europe,"142291 TRZEBAW, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
389613,African swine fever,52.269636,16.783317,142292 TRZEBAW,Poland,Europe,"142292 TRZEBAW, Poland, Europe",2024-10-24,2024-10-31,2024-10-24,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391154,African swine fever,52.300181,16.989538,143406POZNA,Poland,Europe,"143406POZNA, Poland, Europe",2024-10-25,2024-11-20,2024-10-25,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390102,African swine fever,52.30151,16.829146,142703 WIRY,Poland,Europe,"142703 WIRY, Poland, Europe",2024-10-25,2024-11-08,2024-10-25,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390101,African swine fever,52.289406,16.793641,142704 ROSN?WKO,Poland,Europe,"142704 ROSN?WKO, Poland, Europe",2024-10-25,2024-11-08,2024-10-25,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390100,African swine fever,52.296624,16.860107,142705 PUSZCZYKOWO,Poland,Europe,"142705 PUSZCZYKOWO, Poland, Europe",2024-10-25,2024-11-08,2024-10-25,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391158,African swine fever,52.292163,16.783866,143402ROSN?WKO,Poland,Europe,"143402ROSN?WKO, Poland, Europe",2024-10-26,2024-11-20,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391157,African swine fever,52.280418,16.804473,143403JAROS AWIEC,Poland,Europe,"143403JAROS AWIEC, Poland, Europe",2024-10-26,2024-11-20,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390097,African swine fever,52.283862,16.801453,142709 JAROS AWIEC,Poland,Europe,"142709 JAROS AWIEC, Poland, Europe",2024-10-26,2024-11-08,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390096,African swine fever,52.280994,16.807261,142711 JAROS AWIEC,Poland,Europe,"142711 JAROS AWIEC, Poland, Europe",2024-10-26,2024-11-08,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390095,African swine fever,52.288557,16.789563,142712 JAROS AWIEC,Poland,Europe,"142712 JAROS AWIEC, Poland, Europe",2024-10-26,2024-11-08,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390094,African swine fever,52.293038,16.781695,142713 ROSN?WKO,Poland,Europe,"142713 ROSN?WKO, Poland, Europe",2024-10-26,2024-11-08,2024-10-26,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390103,African swine fever,52.368381,17.055929,142702 POZNA,Poland,Europe,"142702 POZNA, Poland, Europe",2024-10-27,2024-11-08,2024-10-27,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391159,African swine fever,52.300468,16.989741,143401POZNA,Poland,Europe,"143401POZNA, Poland, Europe",2024-10-28,2024-11-20,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
